1,1,2
2,3,5
3,6,9
4,10,14
5,15,20
6,21,27
7,28,35
8,36,44
9,45,54
10,55,65
11,66,77
12,78,90
13,91,104
14,105,119
15,120,135
16,136,152
17,153,170
18,171,189
19,190,209
20,210,230
21,231,252
22,253,275
23,276,299
24,300,324
25,325,350
26,351,377
27,378,405
28,406,434
29,435,464
30,465,495
31,496,527
32,528,560
33,561,594
34,595,629
35,630,665
36,666,702
37,703,740
38,741,779
39,780,819
40,820,860
41,861,902
42,903,945
43,946,989
44,990,1034
45,1035,1080
46,1081,1127
47,1128,1175
48,1176,1224
49,1225,1274
50,1275,1325
51,1326,1377
52,1378,1430
53,1431,1484
54,1485,1539
55,1540,1595
56,1596,1652
